symbol,Name,Score
🔸,SMALL ORANGE DIAMOND,15628129
💡,ELECTRIC LIGHT BULB,15560334
🍭,LOLLIPOP,15519869
👸,PRINCESS,15492103
🏈,AMERICAN FOOTBALL,15463079
🎮,VIDEO GAME,15130065
⚪️,MEDIUM WHITE CIRCLE,15103244
💢,ANGER SYMBOL,15102494
🚩,TRIANGULAR FLAG ON POST,15073324
🐸,FROG FACE,15071487
👨,MAN,14932773
▪️,BLACK SMALL SQUARE,14892033
⤵️,ARROW POINTING RIGHTWARDS THEN CURVING DOWNWARDS,14760496
🌏,EARTH GLOBE ASIA-AUSTRALIA,14631458
🐯,TIGER FACE,14531314
💻,PERSONAL COMPUTER,14365905
😾,POUTING CAT FACE,14209079
🎅,FATHER CHRISTMAS,14150178
🐼,PANDA FACE,14145429
🙀,WEARY CAT FACE,13926534
🚧,CONSTRUCTION SIGN,13908086
👭,TWO WOMEN HOLDING HANDS,13903010
😺,SMILING CAT FACE WITH OPEN MOUTH,13881377
🚬,SMOKING SYMBOL,13812224
🇬🇧,REGIONAL INDICATOR SYMBOL LETTERS GB,13745724
4️⃣,KEYCAP 4,13742554
™,TRADE MARK SIGN,13690505
🎸,GUITAR,13437110
🍌,BANANA,13435617
📈,CHART WITH UPWARDS TREND,13419412
🍉,WATERMELON,13277180
🐣,HATCHING CHICK,13244611
📻,RADIO,13234313
❓,BLACK QUESTION MARK ORNAMENT,13195135
🏡,HOUSE WITH GARDEN,13082921
🚗,AUTOMOBILE,13051678
⚾️,BASEBALL,13025261
🍊,TANGERINE,12990791
💉,SYRINGE,12958279
🐥,FRONT-FACING BABY CHICK,12951436
⚫️,MEDIUM BLACK CIRCLE,12851756
🗿,MOYAI,12759830
🍩,DOUGHNUT,12695960
5️⃣,KEYCAP 5,12548252
🚫,NO ENTRY SIGN,12472653
🍫,CHOCOLATE BAR,12354100
🔮,CRYSTAL BALL,12352597
✏️,PENCIL,12281311
📩,ENVELOPE WITH DOWNWARDS ARROW ABOVE,12281019
👶,BABY,12150894
🏠,HOUSE BUILDING,12075024
⛅️,SUN BEHIND CLOUD,12052788
🍟,FRENCH FRIES,11947754
🕒,CLOCK FACE THREE OCLOCK,11947554
👹,JAPANESE OGRE,11875062
🚮,PUT LITTER IN ITS PLACE SYMBOL,11864388
💑,COUPLE WITH HEART,11854966
🇮🇹,REGIONAL INDICATOR SYMBOL LETTERS IT,11787657
🌾,EAR OF RICE,11755659
🍎,RED APPLE,11714954
🔷,LARGE BLUE DIAMOND,11710884
🇪🇸,REGIONAL INDICATOR SYMBOL LETTERS ES,11617229
®,REGISTERED SIGN,11534570
⁉️,EXCLAMATION QUESTION MARK,11346521
🍰,SHORTCAKE,11321837
🌌,MILKY WAY,10901161
🆚,SQUARED VS,10704695
🐢,TURTLE,10636722
⛄️,SNOWMAN WITHOUT SNOW,10523394
🍬,CANDY,10482257
🙍,PERSON FROWNING,10382657
🐒,MONKEY,10302498
🆗,SQUARED OK,10262093
👣,FOOTPRINTS,10248756
🔑,KEY,10214630
🎨,ARTIST PALETTE,10139628
🍪,COOKIE,10121361
🍹,TROPICAL DRINK,10110335
🌐,GLOBE WITH MERIDIANS,10077071
🍔,HAMBURGER,10001125
👾,ALIEN MONSTER,9994999
📖,OPEN BOOK,9964257
📰,NEWSPAPER,9824828
✂️,BLACK SCISSORS,9718115
🍇,GRAPES,9665220
🍄,MUSHROOM,9541423
👧,GIRL,9496481
⬆️,UPWARDS BLACK ARROW,9398183
🍦,SOFT ICE CREAM,9372050
🔁,CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS,9339810
❕,WHITE EXCLAMATION MARK ORNAMENT,9305113
🍴,FORK AND KNIFE,9248481
🐕,DOG,9201864
🌠,SHOOTING STAR,9164599
↔️,LEFT RIGHT ARROW,9157776
🚖,ONCOMING TAXI,9102200
🐈,CAT,9044080
💊,PILL,9033135
🐦,BIRD,9023570
🐙,OCTOPUS,8963089
🔻,DOWN-POINTING RED TRIANGLE,8942845
🇩🇪,REGIONAL INDICATOR SYMBOL LETTERS DE,8904039
🏁,CHEQUERED FLAG,8847968
💄,LIPSTICK,8823897
👠,HIGH-HEELED SHOE,8794907
🌅,SUNRISE,8704941
🐺,WOLF FACE,8695925
🆘,SQUARED SOS,8687462
🔶,LARGE ORANGE DIAMOND,8650865
🐬,DOLPHIN,8630159
🍏,GREEN APPLE,8617705
🍸,COCKTAIL GLASS,8526728
🐟,FISH,8440055
✉️,ENVELOPE,8400587
🍍,PINEAPPLE,8384767
🎓,GRADUATION CAP,8375621
👺,JAPANESE GOBLIN,8315271
🍋,LEMON,8262702
🌳,DECIDUOUS TREE,8219200
🌲,EVERGREEN TREE,8181695
⌚️,WATCH,8058512
🔃,CLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS,8055291
⛔️,NO ENTRY,8004187
🆔,SQUARED ID,7987485
👙,BIKINI,7987315
🎆,FIREWORKS,7778807
🆒,SQUARED COOL,7686196
🔜,SOON WITH RIGHTWARDS ARROW ABOVE,7647256
🐘,ELEPHANT,7603283
🎭,PERFORMING ARTS,7582029
💿,OPTICAL DISC,7536297
↘️,SOUTH EAST ARROW,7526600
🔄,ANTICLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS,7497229
↗️,NORTH EAST ARROW,7358798
📅,CALENDAR,7354584
🆕,SQUARED NEW,7322724
👦,BOY,7311076
📦,PACKAGE,7304636
⬜️,WHITE LARGE SQUARE,7200580
👤,BUST IN SILHOUETTE,7185632
🛃,CUSTOMS,7144156
🌕,FULL MOON SYMBOL,7136062
🍯,HONEY POT,7115776
🌃,NIGHT WITH STARS,7112345
⏳,HOURGLASS WITH FLOWING SAND,7079414
📆,TEAR-OFF CALENDAR,7002967
🆓,SQUARED FREE,6920512
📕,CLOSED BOOK,6912390
♋️,CANCER,6842498
✳️,EIGHT SPOKED ASTERISK,6777694
📥,INBOX TRAY,6771502
🔒,LOCK,6730641
🔙,BACK WITH LEFTWARDS ARROW ABOVE,6726624
🔐,CLOSED LOCK WITH KEY,6645131
🎱,BILLIARDS,6645125
🌄,SUNRISE OVER MOUNTAINS,6620764
👟,ATHLETIC SHOE,6614502
🇯🇵,REGIONAL INDICATOR SYMBOL LETTERS JP,6605066
🍼,BABY BOTTLE,6573966
▫️,WHITE SMALL SQUARE,6479579
🔽,DOWN-POINTING SMALL RED TRIANGLE,6452597
⛽️,FUEL PUMP,6444878
↕️,UP DOWN ARROW,6421303
🔺,UP-POINTING RED TRIANGLE,6414494
📊,BAR CHART,6409842
🐠,TROPICAL FISH,6386182
⏬,BLACK DOWN-POINTING DOUBLE TRIANGLE,6348781
⏪,BLACK LEFT-POINTING DOUBLE TRIANGLE,6346400
🔎,RIGHT-POINTING MAGNIFYING GLASS,6313514
🚘,ONCOMING AUTOMOBILE,6304652
🏨,HOTEL,6275347
🎩,TOP HAT,6143035
🐹,HAMSTER FACE,6141445
⛳️,FLAG IN HOLE,6092967
0️⃣,KEYCAP 0,6035069
🎾,TENNIS RACQUET AND BALL,5987705
🌛,FIRST QUARTER MOON WITH FACE,5979046
🍵,TEACUP WITHOUT HANDLE,5940785
⬛️,BLACK LARGE SQUARE,5893538
🐨,KOALA,5867684
👗,DRESS,5797309
🎇,FIREWORK SPARKLER,5792290
✴️,EIGHT POINTED BLACK STAR,5733026
🍳,COOKING,5725870
🐉,DRAGON,5664496
💠,DIAMOND SHAPE WITH A DOT INSIDE,5657394
🍞,BREAD,5645610
↙️,SOUTH WEST ARROW,5609027
🐵,MONKEY FACE,5606823
🌽,EAR OF MAIZE,5602204
🚦,VERTICAL TRAFFIC LIGHT,5517523
🔍,LEFT-POINTING MAGNIFYING GLASS,5513560
👂,EAR,5509414
🌑,NEW MOON SYMBOL,5503359
🍗,POULTRY LEG,5498938
🐮,COW FACE,5492268
🏊,SWIMMER,5478729
〰,WAVY DASH,5401647
🍜,STEAMING BOWL,5360018
🌜,LAST QUARTER MOON WITH FACE,5353676
⛵️,SAILBOAT,5329804
🐊,CROCODILE,5283857
🐔,CHICKEN,5273484
🐽,PIG NOSE,5270510
🇷🇺,REGIONAL INDICATOR SYMBOL LETTERS RU,5260021
👥,BUSTS IN SILHOUETTE,5217732
🐇,RABBIT,5211962
💳,CREDIT CARD,5196971
🐎,HORSE,5195605
👕,T-SHIRT,5177540
✒️,BLACK NIB,5147107
🔱,TRIDENT EMBLEM,5145073
♐️,SAGITTARIUS,5144852
👓,EYEGLASSES,5142715
📡,SATELLITE ANTENNA,5131868
🆙,SQUARED UP WITH EXCLAMATION MARK,5119568
🐴,HORSE FACE,5109705
🐑,SHEEP,5104347
🍧,SHAVED ICE,5092368
🍅,TOMATO,5082966
🔘,RADIO BUTTON,5043484
🍣,SUSHI,5043320
㊗️,CIRCLED IDEOGRAPH CONGRATULATION,5033563
📉,CHART WITH DOWNWARDS TREND,5018611
⌛️,HOURGLASS,5008440
6️⃣,KEYCAP 6,4991702
🌆,CITYSCAPE AT DUSK,4962892
❇️,SPARKLE,4947619
⤴️,ARROW POINTING RIGHTWARDS THEN CURVING UPWARDS,4940305
㊙️,CIRCLED IDEOGRAPH SECRET,4893923
👪,FAMILY,4882763
📮,POSTBOX,4873310
➕,HEAVY PLUS SIGN,4870737
👃,NOSE,4781494
💲,HEAVY DOLLAR SIGN,4700489
🐀,RAT,4685301
💼,BRIEFCASE,4631164
🍥,FISH CAKE WITH SWIRL DESIGN,4620662
🐭,MOUSE FACE,4594646
Ⓜ️,CIRCLED LATIN CAPITAL LETTER M,4585169
🍝,SPAGHETTI,4584088
♈️,ARIES,4571846
💂,GUARDSMAN,4564668
🎲,GAME DIE,4563005
👬,TWO MEN HOLDING HANDS,4496817
🐞,LADY BEETLE,4455220
👵,OLDER WOMAN,4437307
💇,HAIRCUT,4428786
🕐,CLOCK FACE ONE OCLOCK,4411847
♉️,TAURUS,4343667
🔆,HIGH BRIGHTNESS SYMBOL,4324112
👖,JEANS,4306745
🅰,NEGATIVE SQUARED LATIN CAPITAL LETTER A,4282125
🐓,ROOSTER,4278022
♒️,AQUARIUS,4266133
👰,BRIDE WITH VEIL,4253739
♏️,SCORPIUS,4231406
➰,CURLY LOOP,4224540
🐛,BUG,4193049
🚲,BICYCLE,4180335
🚙,RECREATIONAL VEHICLE,4134592
❎,NEGATIVE SQUARED CROSS MARK,4110462
📎,PAPERCLIP,4092670
🚿,SHOWER,4070597
🐤,BABY CHICK,4066568
🐋,WHALE,4061022
🔛,ON WITH EXCLAMATION MARK WITH LEFT RIGHT ARROW ABOVE,4043310
🐚,SPIRAL SHELL,4037695
🍨,ICE CREAM,4018565
🙎,PERSON WITH POUTING FACE,3959553
👮,POLICE OFFICER,3908132
🚚,DELIVERY TRUCK,3900603
↖️,NORTH WEST ARROW,3870710
♊️,GEMINI,3865986
🇨🇳,REGIONAL INDICATOR SYMBOL LETTERS CN,3864803
🎻,VIOLIN,3858639
〽️,PART ALTERNATION MARK,3855434
🔌,ELECTRIC PLUG,3848366
🎹,MUSICAL KEYBOARD,3847736
🏄,SURFER,3812731
👴,OLDER MAN,3728971
♓️,PISCES,3728380
♌️,LEO,3717281
🇰🇷,REGIONAL INDICATOR SYMBOL LETTERS KR,3689151
ℹ️,INFORMATION SOURCE,3682935
🛅,LEFT LUGGAGE,3680929
🎣,FISHING POLE AND FISH,3671813
💮,WHITE FLOWER,3667944
🔋,BATTERY,3654564
🅱,NEGATIVE SQUARED LATIN CAPITAL LETTER B,3588942
🚂,STEAM LOCOMOTIVE,3567209
7️⃣,KEYCAP 7,3557619
🕛,CLOCK FACE TWELVE OCLOCK,3548157
🎐,WIND CHIME,3528357
♎️,LIBRA,3526211
⛪️,CHURCH,3463688
🚺,WOMENS SYMBOL,3406264
🐜,ANT,3391714
🍤,FRIED SHRIMP,3376984
🚴,BICYCLIST,3376758
🐌,SNAIL,3352468
🍱,BENTO BOX,3347906
📄,PAGE FACING UP,3347665
🔨,HAMMER,3320534
🍚,COOKED RICE,3308363
🍐,PEAR,3305936
🔓,OPEN LOCK,3276385
🗽,STATUE OF LIBERTY,3271144
🐖,PIG,3269328
🚌,BUS,3257450
🌋,VOLCANO,3255741
🐩,POODLE,3252201
💒,WEDDING,3242117
♍️,VIRGO,3213332
🅿️,NEGATIVE SQUARED LATIN CAPITAL LETTER P,3212673
🐄,COW,3210761
📋,CLIPBOARD,3202319
🏫,SCHOOL,3200001
🎋,TANABATA TREE,3193089
🌒,WAXING CRESCENT MOON SYMBOL,3192436
♑️,CAPRICORN,3183095
🍖,MEAT ON BONE,3175607
🍡,DANGO,3166546
🏢,OFFICE BUILDING,3149208
🌓,FIRST QUARTER MOON SYMBOL,3122212
📀,DVD,3110283
👚,WOMANS CLOTHES,3106071
🚪,DOOR,3064966
🐡,BLOWFISH,3063910
🎪,CIRCUS TENT,3043079
🎰,SLOT MACHINE,3020962
🍲,POT OF FOOD,3020909
